;reference;auteur;date_acquisition;denomination;date_de_mise_a_jour;date_de_creation;domaine;ecole_pays;epoque;lieu_de_creation_utilisation;millesime_de_creation;identifiant_museofile;precision_auteur;periode_de_creation;sujet_represente;materiaux_techniques;titre;Date_Acquisition_1;Epoque_1;Dénomination_1;Ecole_pays_1;P1;P_Dates;Titre_Oeuvre;Auteur_1;Auteur-1;Auteur-2;Auteur-3;Auteur-4;Auteur-5;Auteur-6;Auteur-7;Domaine_1;Domaine-1;Domaine-2;Domaine-3;Domaine-4;Domaine-5
5827;6070059594;BOUILLON Pierre (graveur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;France;;;;M0607;Bouillon : thiviers (dordogne), 1776, paris, 1831;18e siècle,19e siècle;figure mythologique (Bacchus, sculpture, homme, nu, couronne : feuille, draperie);papier, gravure, encre;;1867;;;FRANCE;thiviers (dordogne), 1776, paris, 1831;1776-1831;;BOUILLON PIERRE;BOUILLON PIERRE;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5829;6070059595;FIORILLO Nicola (graveur),VANNI Nicola (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Fiorillo : actif au 18e siècle#vanni : ?, 1757, ?, 1792;18e siècle;figure mythologique (divinité, Fortuna, sculpture, draperie, plume, coiffe, gouvernail, corne d'abondance);papier vergé, gravure, encre;;1867;;;ITALIE;actif au 18e siècle#vanni : ?, 1757, ?, 1792;18-1757-1792;;FIORILLO NICOLA ,VANNI NICOLA;FIORILLO NICOLA;VANNI NICOLA;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5831;6070059596;NOLLI Carlo (graveur),VANNI Nicola (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Nolli : ?, 1724, ?, 1775#vanni : ?, 1757, ?, 1792;18e siècle;figure mythologique (sculpture, faune, homme, nu, couronne : feuille);papier vergé, gravure, encre;;1867;;;ITALIE;?, 1724, ?, 1775#vanni : ?, 1757, ?, 1792;1724-1775-1757-1792;;NOLLI CARLO ,VANNI NICOLA;NOLLI CARLO;VANNI NICOLA;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5833;6070059597;CAMPANA Ferdinando (graveur),CAMPANA Vincenzo (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Campana : graveur actif au 18e siècle#campana : actif au 18e siècle;18e siècle;figure mythologique (sculpture, Athéna, égide, draperie, coiffe, plume, chouette);papier vergé, gravure, encre;;1867;;;ITALIE;graveur actif au 18e siècle#campana : actif au 18e siècle;18-18;;CAMPANA FERDINANDO ,CAMPANA VINCENZO;CAMPANA FERDINANDO;CAMPANA VINCENZO;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5835;6070059598;MORGHEN Filippo (graveur),CASANOVA Francesco Giuseppe (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Morghen : ?, 1730, ?, 1807# casanova : londres (royaume-uni), 1727, brühl (autriche), 1802;18e siècle;figure (sculpture, jeune homme, draperie, sandale, couronne : feuille);papier vergé, gravure, encre;;1867;;;ITALIE;?, 1730, ?, 1807# casanova : londres (royaume-uni), 1727, brühl (autriche), 1802;1730-1807-1727-1802;;MORGHEN FILIPPO ,CASANOVA FRANCESCO GIUSEPPE;MORGHEN FILIPPO;CASANOVA FRANCESCO GIUSEPPE;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5837;6070059599;DELLA MONICA Piero (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;;18e siècle,19e siècle;figure (Balbus Marcus Nonius, équestre, haut fonctionnaire, Romain, draperie, cavalier, cheval);papier, gravure, encre;Nonio Balbo Marmo;1867;;;ITALIE;;;NONIO BALBO MARMO;DELLA MONICA PIERO;DELLA MONICA PIERO;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5839;6070059600;CAMPANA Pietro (?, graveur),CASANOVA Francesco Giuseppe (?, graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Campana pietro : ?, 1727, ?, 1765#casanova francesco giuseppe : ?, 1727, ?, 1803;18e siècle;figure mythologique (sculpture, faune, assis, chien, draperie, rocher);papier vergé, gravure, encre;;1867;;;ITALIE;?, 1727, ?, 1765#casanova francesco giuseppe : ?, 1727, ?, 1803;1727-1765-1727-1803;;CAMPANA PIETRO ,CASANOVA FRANCESCO GIUSEPPE;CAMPANA PIETRO;CASANOVA FRANCESCO GIUSEPPE;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5841;6070059601;BOUILLON Pierre (graveur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;France;;;;M0607;Bouillon : thiviers (dordogne), 1776, paris, 1831;18e siècle,19e siècle;figure (sculpture, femme, assis, draperie, fauteuil);papier, gravure, encre;;1867;;;FRANCE;thiviers (dordogne), 1776, paris, 1831;1776-1831;;BOUILLON PIERRE;BOUILLON PIERRE;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5843;6070059602;CAMPANA Ferdinando (graveur),CAMPANA Vincenzo (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Campana : graveur actif au 18e siècle#campana : actif au 18e siècle;18e siècle;figure (sculpture, jeune homme, coupe, draperie, corne d'abondance);papier vergé, gravure, encre;;1867;;;ITALIE;graveur actif au 18e siècle#campana : actif au 18e siècle;18-18;;CAMPANA FERDINANDO ,CAMPANA VINCENZO;CAMPANA FERDINANDO;CAMPANA VINCENZO;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5845;6070059603;SORELLO Michele (graveur),CAMPIGLIA Giovanni Domenico (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Sorello : ?, 1700, ?, 1765#campiglia : ?, 1692, ?, 1775;18e siècle;figure (sculpture, soldat, sandale, draperie);papier vergé, gravure, encre;Miles;1867;;;ITALIE;?, 1700, ?, 1765#campiglia : ?, 1692, ?, 1775;1700-1765-1692-1775;MILES;SORELLO MICHELE ,CAMPIGLIA GIOVANNI DOMENICO;SORELLO MICHELE;CAMPIGLIA GIOVANNI DOMENICO;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5847;6070059604;;1867;;2016-11-04;2016-10-25;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;paysage (Aventinus fils d'Hercule, sculpture, homme, nu, Lion de Némée, léonté, massue, taureau);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5849;6070059605;CEPPAROLI Francesco (graveur),CASANOVA Francesco Giuseppe (?, graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Casanova : londres (royaume-uni), 1727, brühl (autriche), 1802;18e siècle;figure (sculpture, bandeau, femme, tunique, châle, coiffure);papier vergé, gravure, encre;;1867;;;ITALIE;londres (royaume-uni), 1727, brühl (autriche), 1802;1727-1802;;CEPPAROLI FRANCESCO ,CASANOVA FRANCESCO GIUSEPPE;CEPPAROLI FRANCESCO;CASANOVA FRANCESCO GIUSEPPE;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5851;6070059606;LAPI (graveur),CAMPIGLIA Giovanni Domenico (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Campiglia : ?, 1692, ?, 1775;18e siècle;figure mythologique (Sylla, sculpture, toge, papyrus);papier vergé, gravure, encre;Silla dictator;1867;;;ITALIE;?, 1692, ?, 1775;1692-1775;SILLA DICTATOR;LAPI ,CAMPIGLIA GIOVANNI DOMENICO;LAPI;CAMPIGLIA GIOVANNI DOMENICO;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5853;6070059637;DEQUEVAUVILLER François Jacques (graveur),DESNOYERS Auguste (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;France;;;;M0607;Dequevauviller : paris, 1783, paris 1848;19e siècle;figure (sculpture, enfant, nudité, flûte);papier vergé, gravure, encre;Enfant jouant de la flûte;1867;;;FRANCE;paris, 1783, paris 1848;1783-1848;ENFANT JOUANT DE LA FLUTE;DEQUEVAUVILLER FRANÇOIS JACQUES ,DESNOYERS AUGUSTE;DEQUEVAUVILLER FRANÇOIS JACQUES;DESNOYERS AUGUSTE;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5855;6070059638;CEPPAROLI Francesco (graveur),VANNI Nicola (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Vanni : ?, 1757, ?, 1792;18e siècle;figure mythologique (Héraclès, sculpture, homme, nu, Lion de Némée, léonté, massue);papier vergé, gravure, encre;;1867;;;ITALIE;?, 1757, ?, 1792;1757-1792;;CEPPAROLI FRANCESCO ,VANNI NICOLA;CEPPAROLI FRANCESCO;VANNI NICOLA;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5857;6070059639;;1867;;2016-11-04;2016-10-25;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure mythologique (Junon, sculpture, lance, bouclier, fourrure, chèvre, draperie);papier vergé, gravure, encre;Giunone Lanuvina;1867;;;;;;GIUNONE LANUVINA;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5859;6070059640;CAMPANA Pietro (graveur),VANNI Nicola (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Campana : ?, 1727, ?, 1765#vanni : ?, 1757, ?, 1792;18e siècle;figure mythologique (divinité, Fortuna, sculpture, gouvernail, coiffe, draperie);papier vergé, gravure, encre;;1867;;;ITALIE;?, 1727, ?, 1765#vanni : ?, 1757, ?, 1792;1727-1765-1757-1792;;CAMPANA PIETRO ,VANNI NICOLA;CAMPANA PIETRO;VANNI NICOLA;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5861;6070059641;BOUILLON Pierre (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;France;;;;M0607;Bouillon : thiviers (dordogne), 1776, paris, 1831;18e siècle,19e siècle;figure (Chine, sculpture, homme, Chinois, vieillesse, bâton);papier vergé, gravure, encre;;1867;;;FRANCE;thiviers (dordogne), 1776, paris, 1831;1776-1831;;BOUILLON PIERRE;BOUILLON PIERRE;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5863;6070059642;;1867;;2016-11-04;2016-10-25;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure (sculpture, homme, nu, bandeau);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5865;6070059643;DOLCIBENE Vincenzo (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Dolcibene : ?, 1746, ?, 1820;18e siècle,19e siècle;portrait (sculpture, Posidippe, poète, homme, assis, draperie, fauteuil);papier vergé, gravure, encre;;1867;;;ITALIE;?, 1746, ?, 1820;1746-1820;;DOLCIBENE VINCENZO;DOLCIBENE VINCENZO;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5867;6070059644;CAMPANA Pietro (graveur),CASANOVA Francesco Giuseppe (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Campana : ?, 1727, ?, 1765# casanova : londres (royaume-uni), 1727, brühl (autriche), 1802;18e siècle;figure (sculpture, femme, tunique);papier vergé, gravure, encre;;1867;;;ITALIE;?, 1727, ?, 1765# casanova : londres (royaume-uni), 1727, brühl (autriche), 1802;1727-1765-1727-1802;;CAMPANA PIETRO ,CASANOVA FRANCESCO GIUSEPPE;CAMPANA PIETRO;CASANOVA FRANCESCO GIUSEPPE;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5869;6070059645;NOLLI Carlo (graveur),VANNI Nicola (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Nolli : ?, 1724, ?, 1775#vanni : ?, 1757, ?, 1792;18e siècle;figure (sculpture, homme, nu, en pied, casque);papier vergé, gravure, encre;;1867;;;ITALIE;?, 1724, ?, 1775#vanni : ?, 1757, ?, 1792;1724-1775-1757-1792;;NOLLI CARLO ,VANNI NICOLA;NOLLI CARLO;VANNI NICOLA;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5871;6070059646;;1867;;2016-11-04;2016-10-25;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure mythologique (sculpture, divinité, Flore, draperie, fleur, couronne : feuille);papier vergé, gravure, encre;Flora;1867;;;;;;FLORA;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5873;6070059647;CAMPIGLIA Giovanni Domenico (graveur, dessinateur),GREGORJ Giovanni Carlo (graveur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Campiglia : ?, 1692, ?, 1775#gregorj : ?, 1797, ?, 1852;18e siècle;figure (sculpture, chasse, chasseur, homme, gibier, lièvre, arbre);papier vergé, gravure, encre;Cacciatore;1867;;;ITALIE;?, 1692, ?, 1775#gregorj : ?, 1797, ?, 1852;1692-1775-1797-1852;CACCIATORE;CAMPIGLIA GIOVANNI DOMENICO ,GREGORJ GIOVANNI CARLO;CAMPIGLIA GIOVANNI DOMENICO;GREGORJ GIOVANNI CARLO;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5875;6070059648;MOCHETTI Alessandro (graveur),DOLCIBENE Vincenzo (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Mochetti : ?, 1760, ?, 1812#dolcibene : ?, 1746, ?, 1820;18e siècle,19e siècle;figure mythologique (sculpture, allégorie, ville, Antioche, femme, assis, couronne, blé, rocher, draperie, homme, nu);papier vergé, gravure, encre;Antiochia;1867;;;ITALIE;?, 1760, ?, 1812#dolcibene : ?, 1746, ?, 1820;1760-1812-1746-1820;ANTIOCHIA;MOCHETTI ALESSANDRO ,DOLCIBENE VINCENZO;MOCHETTI ALESSANDRO;DOLCIBENE VINCENZO;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5877;6070059649;;1867;;2016-11-04;2016-10-25;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure (sculpture, homme, nu, carquois);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5879;6070059650;POZZI Stefano (graveur, dessinateur),FREZZA Giovanni Girolamo (graveur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;1740;M0607;Pozzi : ?, 1699, ?, 1768#frezza : ?, 1659, ?, 1743;2e quart 18e siècle;figure (sculpture, homme, nu);papier vergé, gravure, encre;;1867;;;ITALIE;?, 1699, ?, 1768#frezza : ?, 1659, ?, 1743;1699-1768-1659-1743;;POZZI STEFANO ,FREZZA GIOVANNI GIROLAMO;POZZI STEFANO;FREZZA GIOVANNI GIROLAMO;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5881;6070059651;;1867;;2016-11-04;2016-10-25;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure (sculpture, homme, en pied);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5883;6070059652;BOUILLON Pierre (graveur, dessinateur),BAQUOY Famille (graveur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;France;;;;M0607;Bouillon : thiviers (dordogne), 1776, paris, 1831;18e siècle,19e siècle;figure mythologique (Diane, sculpture, chasse, cerf, carquois, draperie);papier, gravure, encre;Diane de Versailles;1867;;;FRANCE;thiviers (dordogne), 1776, paris, 1831;1776-1831;DIANE DE VERSAILLES;BOUILLON PIERRE ,BAQUOY FAMILLE;BOUILLON PIERRE;BAQUOY FAMILLE;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5885;6070059653;GREGORJ Giovanni Carlo (graveur),CAMPIGLIA Giovanni Domenico (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Gregorj : ?, 1797, ?, 1852#campiglia : ?, 1692, ?, 1775;18e siècle;figure mythologique (Endymion, sculpture, homme, nu, chien);papier vergé, gravure, encre;Endymion;1867;;;ITALIE;?, 1797, ?, 1852#campiglia : ?, 1692, ?, 1775;1797-1852-1692-1775;ENDYMION;GREGORJ GIOVANNI CARLO ,CAMPIGLIA GIOVANNI DOMENICO;GREGORJ GIOVANNI CARLO;CAMPIGLIA GIOVANNI DOMENICO;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5887;6070059654;;1867;;2016-11-04;2016-10-25;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure (sculpture, homme, en pied, nu);papier vergé, gravure, encre, gouache blanche;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5889;6070059655;MORGHEN Filippo (graveur),CASANOVA Francesco Giuseppe (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Morghen filippo ou giovanni (auteur incertain) : ?, 1730, ?, 1807# casanova : londres (royaume-uni), 1727, brühl (autriche), 1802;18e siècle;figure (sculpture, homme, draperie);papier vergé, gravure, encre;;1867;;;ITALIE;?, 1730, ?, 1807# casanova : londres (royaume-uni), 1727, brühl (autriche), 1802;1730-1807-1727-1802;;MORGHEN FILIPPO ,CASANOVA FRANCESCO GIUSEPPE;MORGHEN FILIPPO;CASANOVA FRANCESCO GIUSEPPE;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5891;6070059656;;1867;;2016-11-04;2016-10-25;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure mythologique (sculpture, faune, assis, homme, nu);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5893;6070059774;CAMPIGLIA Giovanni Domenico (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Campiglia : ?, 1692, ?, 1775;18e siècle;scène mythologique (Niobide, sculpture, homme, nu, femme, draperie);papier vergé, gravure, encre;Due figliuoli di Niobe;1867;;;ITALIE;?, 1692, ?, 1775;1692-1775;DUE FIGLIUOLI DI NIOBE;CAMPIGLIA GIOVANNI DOMENICO;CAMPIGLIA GIOVANNI DOMENICO;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5895;6070059775;MOGALI Cosimo (graveur),CAMPIGLIA Giovanni Domenico (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Campiglia : ?, 1692, ?, 1775;18e siècle;figure (sculpture, homme, haut fonctionnaire, Romain, en pied, toge, instrument d'écriture);papier vergé, gravure, encre;Vir consularis;1867;;;ITALIE;?, 1692, ?, 1775;1692-1775;VIR CONSULARIS;MOGALI COSIMO ,CAMPIGLIA GIOVANNI DOMENICO;MOGALI COSIMO;CAMPIGLIA GIOVANNI DOMENICO;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5897;6070059776;MOLINARI Giovanni Domenico (graveur),BORANI Giovanni Battista (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Molinari : ?, 1721, ?, 1793#borani : ?, 1810, ?, ?;19e siècle;figure (sculpture, femme, toge, modius, papyrus);papier, gravure, encre;Canefora;1867;;;ITALIE;?, 1721, ?, 1793#borani : ?, 1810, ?, ?;1721-1793-1810;CANEFORA;MOLINARI GIOVANNI DOMENICO ,BORANI GIOVANNI BATTISTA;MOLINARI GIOVANNI DOMENICO;BORANI GIOVANNI BATTISTA;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5899;6070059777;;1867;;2016-11-04;2016-10-25;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure mythologique (sculpture, Hermès, homme, nu, chapeau, caducée, chlamyde);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5901;6070059778;;1867;;2016-11-04;2016-10-25;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure mythologique (Héraclès, sculpture, homme, nu, massue, Lion de Némée, pomme);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5903;6070059779;;1867;;2016-11-04;2016-10-25;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure mythologique (Héraclès, sculpture, homme, nu, Lion de Némée, rocher);papier vergé, gravure, encre;;1867;;;;;;;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5905;6070059780;CEPPAROLI Francesco (graveur),VANNI Nicola (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Vanni : ?, 1757, ?, 1792;18e siècle;figure (sculpture, homme, nu, en pied, lance);papier vergé, gravure, encre;;1867;;;ITALIE;?, 1757, ?, 1792;1757-1792;;CEPPAROLI FRANCESCO ,VANNI NICOLA;CEPPAROLI FRANCESCO;VANNI NICOLA;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5907;6070059781;GREGORJ Giovanni Carlo (graveur),CAMPIGLIA Giovanni Domenico (graveur, dessinateur);1867;;2016-10-26;2016-10-25;estampe,beaux-arts,arts décoratifs;Italie;;;;M0607;Gregorj : ?, 1797, ?, 1852#campiglia : ?, 1692, ?, 1775;18e siècle;scène mythologique (sculpture, Héraclès, combat, Lion de Némée, homme, nu, massue);papier vergé, gravure, encre;Hercules leonem suffocans;1867;;;ITALIE;?, 1797, ?, 1852#campiglia : ?, 1692, ?, 1775;1797-1852-1692-1775;HERCULES LEONEM SUFFOCANS;GREGORJ GIOVANNI CARLO ,CAMPIGLIA GIOVANNI DOMENICO;GREGORJ GIOVANNI CARLO;CAMPIGLIA GIOVANNI DOMENICO;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5909;6070059782;;1867;;2016-11-04;2016-10-25;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;scène mythologique (sculpture, Romulus, Rémus, allégorie : Tibre, fleuve, louve, palme, corne d'abondance, homme, nu, enfant);papier vergé, gravure, encre;Le Tibre;1867;;;;;;LE TIBRE;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
5911;6070059783;;1867;;2016-11-04;2016-10-25;estampe,beaux-arts,arts décoratifs;;;;;M0607;;18e siècle,19e siècle;figure (sculpture, femme, prêtre, assis, de profil, raisin, vigne);papier vergé, papier (bleu), gravure, encre;Prêtresse de Bacchus;1867;;;;;;PRETRESSE DE BACCHUS;INCONNU;INCONNU;;;;;;;ESTAMPE,BEAUX-ARTS,ARTS DÉCORATIFS;ESTAMPE;BEAUX-ARTS;ARTS DÉCORATIFS;;
